"You already made a payment by that value.<br/>If you need to repay, use another card or other payment method.","You already made a payment by that value.<br/>If you need to repay, use another card or other payment method."
"Your payment was rejected.<br/>Choose another payment method, we recommend cash methods.","Your payment was rejected.<br/>Choose another payment method, we recommend cash methods."
"Your %s do not have sufficient funds.","Your %s do not have sufficient funds."
"%s does not process payments in %s installments.","%s does not process payments in %s installments."
"You have got to the limit of allowed attempts.<br/>Choose another card or another payment method.","You have got to the limit of allowed attempts.<br/>Choose another card or another payment method."
"%s did not process the payment.","%s did not process the payment."

"You can not make payments to users in other countries.","You can not make payments to users in other countries."
"Payment Method selected does not process payments in installments selected. Choose another card or another payment method.","Payment Method selected does not process payments in installments selected. Choose another card or another payment method."
"We could not process your payment. Error code: 126.","We could not process your payment. Error code: 126."
"Payment Method selected does not process payments for the selected amount. Choose another card or another payment method.","Payment Method selected does not process payments for the selected amount. Choose another card or another payment method."
"We could not process your payment. Error code: 145.","We could not process your payment. Error code: 145."
"You can not make payments. Error code: 150.","You can not make payments. Error code: 150."
"You can not make payments.","You can not make payments."
"We could not process your payment. Error code: 160.","We could not process your payment. Error code: 160."
"Payment Method selected is not available at this time. Choose another card or another payment method.","Payment Method selected is not available at this time. Choose another card or another payment method."
"You made a similar payment moments ago. Try again in a few minutes.","You made a similar payment moments ago. Try again in a few minutes."
"We could not process your payment. %s","We could not process your payment. %s"

"Verify the form data or wait until the validation of the payment data","Verify the form data or wait until the validation of the payment data"

"Automatic notification of the MercadoPago: The payment was approved.","Automatic notification of the MercadoPago: The payment was approved."
"Automatic notification of the MercadoPago: The payment was refunded.","Automatic notification of the MercadoPago: The payment was refunded."
"Automatic notification of the MercadoPago: The payment is being processed.","Automatic notification of the MercadoPago: The payment is being processed."
"Automatic notification of the MercadoPago: The payment is being processed. Will be approved within 2 business days.","Automatic notification of the MercadoPago: The payment is being processed. Will be approved within 2 business days."
"Automatic notification of the MercadoPago: The payment is in the process of Dispute, check the graphic account of the MercadoPago for more information.","Automatic notification of the MercadoPago: The payment is in the process of Dispute, check the graphic account of the MercadoPago for more information."
"Automatic notification of the MercadoPago: The payment was cancelled.","Automatic notification of the MercadoPago: The payment was cancelled."
"Automatic notification of the MercadoPago: The payment was rejected.","Automatic notification of the MercadoPago: The payment was rejected."
"<br/> Payment id: %s","<br/> Payment id: %s"
"<br/> Status: %s","<br/> Status: %s"
"<br/> Status Detail: %s","<br/> Status Detail: %s"

"Get your public_key in the following address: https://www.mercadopago.com/mlb/account/credentials","Get your public_key in the following address: https://www.mercadopago.com/mlb/account/credentials"
"Choose the status when payment was chargeback", "Choose the status when payment was chargeback"

"Cannot operate between users from different countries.","Cannot operate between users from different countries."
"Payment method does not process installments.","Payment method does not process installments. Choose another credit card or payment method."
"Cannot pay this amount with this paymentMethod.","Cannot pay this amount with this paymentMethod. Choose another credit card or payment method."
"You user cannot do payments currently","You user cannot do payments currently."
"You user cannot do payments currently with this payment method.","You user cannot do payments currently with this payment method."
"Unavailable paymentmethod currently.","Unavailable paymentmethod currently."
"Already posted the same request in the last minute.","Already posted the same request in the last minute. Retry later."
"Doesn't find a campaign with the given code.", "Doesn't find a campaign with the given code."
"We could not process your payment in this moment. Please check the form data and retry later","We could not process your payment in this moment. Please check the form data and retry later"

"The items Quantity has exceeded the limits. We could not process your payment.", "The items Quantity has exceeded the limits. We could not process your payment."
"Already posted the same request in the last minute.", "Already posted the same request in the last minute."
"The transaction amount is invalid. We could not process your payment.", "The transaction amount is invalid. We could not process your payment."
"You user cannot do payments currently", "You user cannot do payments currently"
"You have exceeded the max number of refunds for this payment.", "You have exceeded the max number of refunds for this payment."
"Payment too old to be refunded", "Payment too old to be refunded"
"Coupon code is invalid", "Coupon code is invalid"
"Your user e-mail does not exist. Please check data and retry later", "Your user e-mail does not exist. Please check data and retry later"
"You must provide your cardholder name with your card data", "You must provide your cardholder name with your card data"
"Not found payment method or credit card. Please check the form data and retry.", "Not found payment method or credit card. Please check the form data and retry."
"Security code is invalid. Please check the form data and retry.", "Security code is invalid. Please check the form data and retry."
"Security code is a required field. Please check the form data and retry.", "Security code is a required field. Please check the form data and retry."
"Payment method or credit card invalid. Please check the form data and retry.", "Payment method or credit card invalid. Please check the form data and retry."
"Credit card number is invalid. Please check the form data and retry.", "Credit card number is invalid. Please check the form data and retry."
"Expiration month can not be empty. Please check the form data and retry.", "Expiration month can not be empty. Please check the form data and retry."
"Expiration year can not be empty. Please check the form data and retry.", "Expiration year can not be empty. Please check the form data and retry."
"Cardholder name can not empty. Please check the form data and retry.", "Cardholder name can not empty. Please check the form data and retry."
"Cardholder document number can not be empty. Please check the form data and retry.", "Cardholder document number can not be empty. Please check the form data and retry."
"Cardholder document type can not be empty. Please check the form data and retry.", "Cardholder document type can not be empty. Please check the form data and retry."
"Cardholder document subtype can not be empty. Please check the form data and retry.", "Cardholder document subtype can not be empty. Please check the form data and retry."
"Expiration month is invalid. Please check the form data and retry.", "Expiration month is invalid. Please check the form data and retry."
"Expiration year is invalid. Please check the form data and retry.", "Expiration year is invalid. Please check the form data and retry."
"Installments attribute can not be empty. Please check the form data and retry.", "Installments attribute can not be empty Please check the form data and retry."
"Coupon amount is invalid. Please check the form data and retry.", "Coupon amount is invalid. Please check the form data and retry."
"Doesn't find a campaign to amount given", "Doesn't find a campaign to amount given"
"Amount discount is invalid", "Amount discount is invalid"

"Mercado Pago - Classic Checkout: Invalid client id or client secret","Mercado Pago - Classic Checkout: Invalid client id or client secret"
"Mercado Pago - Custom Checkout: Invalid access token","Mercado Pago - Custom Checkout: Invalid access token"
"(estimated date %s)","(estimated date %s)"
"MercadoEnvios is not enabled in the country where MercadoPago is configured", "MercadoEnvios is not enabled in the country where MercadoPago is configured"
"Discount MercadoPago","Discount MercadoPago"
